Date,Time (LST),Highest,MHHW (m),MHW (m),MSL (m),MTL (m),MLW (m),MLLW (m),Lowest (m),Inf
2018/07/01,00:00,1.676,1.203,1.067,0.053,0,-1.067,-1.133,-1.607,0
2018/08/01,00:00,1.569,1.158,1.046,-0.005,-0.056,-1.158,-1.219,-1.722,0
2018/09/01,00:00,1.64,1.242,1.144,0.139,0.086,-0.972,-1.035,-1.407,0
2018/10/01,00:00,1.564,1.203,1.113,0.13,0.075,-0.964,-1.04,-1.525,0
2018/11/01,00:00,1.89,1.281,1.159,0.157,0.102,-0.955,-1.018,-1.372,0
2018/12/01,00:00,1.695,1.212,1.093,0.058,0.006,-1.081,-1.159,-1.974,0
2019/01/01,00:00,1.567,1.105,1.006,-0.035,-0.078,-1.162,-1.25,-1.898,0
2019/02/01,00:00,1.78,1.218,1.12,0.08,0.035,-1.051,-1.127,-1.613,0
2019/03/01,00:00,1.637,1.213,1.118,0.11,0.058,-1.003,-1.074,-1.655,0
2019/04/01,00:00,1.536,1.163,1.069,0.047,0,-1.069,-1.145,-1.741,0
2019/05/01,00:00,1.558,1.241,1.102,0.083,0.027,-1.048,-1.108,-1.474,0
2019/06/01,00:00,1.597,1.246,1.089,0.072,0.021,-1.047,-1.113,-1.311,0
2019/07/01,00:00,1.652,1.272,1.122,0.107,0.047,-1.029,-1.103,-1.413,0
2019/08/01,00:00,1.827,1.271,1.157,0.124,0.067,-1.023,-1.078,-1.271,0
2019/09/01,00:00,1.794,1.334,1.243,0.249,0.198,-0.847,-0.908,-1.298,0
2019/10/01,00:00,1.646,1.34,1.258,0.278,0.221,-0.816,-0.865,-1.442,0
2019/11/01,00:00,1.65,1.338,1.222,0.247,0.196,-0.831,-0.886,-1.553,0
2019/12/01,00:00,1.625,1.157,1.039,0.055,0.004,-1.032,-1.087,-1.419,0
2020/01/01,00:00,1.506,1.1,0.981,-0.023,-0.064,-1.11,-1.203,-1.641,0
2020/02/01,00:00,1.473,1.117,1.021,-0.008,-0.054,-1.129,-1.198,-1.853,0
2020/03/01,00:00,1.464,1.128,1.041,0.021,-0.026,-1.093,-1.172,-1.751,0
2020/04/01,00:00,1.653,1.209,1.099,0.076,0.017,-1.066,-1.131,-1.615,0
2020/05/01,00:00,1.612,1.227,1.103,0.061,0.009,-1.086,-1.147,-1.761,0
2020/06/01,00:00,1.55,1.265,1.135,0.1,0.052,-1.031,-1.101,-1.573,0
2020/07/01,00:00,1.567,1.254,1.11,0.084,0.03,-1.051,-1.118,-1.384,0
2020/08/01,00:00,1.571,1.25,1.123,0.106,0.054,-1.016,-1.077,-1.38,0
2020/09/01,00:00,1.78,1.337,1.23,0.274,0.222,-0.787,-0.842,-1.356,0
2020/10/01,00:00,1.793,1.337,1.24,0.285,0.23,-0.781,-0.829,-1.332,0
2020/11/01,00:00,1.786,1.297,1.183,0.215,0.163,-0.857,-0.929,-1.372,0
