pix,year,winlst.sum,winlst.avg,lst2.sum,lst2.avg,greenup.lst,greenup.soil
472440 3480630,2014,1416.9040905052132,15.743378783391256,589.213048891194,12.024756099820287,2014-02-25,2014-02-21
472440 3480630,2015,1246.1454820864258,13.8460609120714,551.3664605104797,11.25237674511183,2015-03-17,2015-02-19
472440 3480630,2016,1436.4745776872462,15.78543491964007,638.3421311088582,13.027390430793025,2016-02-20,2016-02-11
472440 3480630,2017,1518.321836210372,16.87024262455969,797.2260978586139,16.26992036446151,2017-02-09,2017-01-28
472440 3480630,2018,1480.6448389767418,16.451609321963797,844.8512773696526,17.241862803462297,2018-02-03,2018-02-14
472440 3480630,2019,1821.6092075732802,20.24010230636978,1072.8543068475815,21.894985854032274,2019-01-18,2019-01-29
472440 3480630,2020,433.3328916190915,18.05553715079548,NA,NaN,NA,NA
472470 3480630,2014,1415.960704987362,15.7328967220818,590.9491612124307,12.060186963518992,2014-02-25,2014-02-14
472470 3480630,2015,1242.053307285286,13.800592303169847,550.6688379501476,11.23813955000301,2015-03-17,2015-02-14
472470 3480630,2016,1430.6950340245226,15.721923450818931,637.2769922218733,13.005652902487212,2016-02-20,2016-02-06
472470 3480630,2017,1515.1064598502085,16.834516220557873,795.9893832514651,16.244681290846227,2017-02-09,2017-01-26
472470 3480630,2018,1478.912149992502,16.43235722213891,844.332820854159,17.23128205824814,2018-02-03,2018-02-13
472470 3480630,2019,1818.3220250674783,20.203578056305314,1072.5650045405253,21.889081725316842,2019-01-18,2019-01-26
472470 3480630,2020,431.80641576287826,17.99193399011993,NA,NaN,NA,NA
472470 3480660,2014,1400.361380557864,15.559570895087377,585.4069605885425,11.9470808283376,2014-02-26,2014-02-18
472470 3480660,2015,1232.5530166701203,13.695033518556892,544.6776981131807,11.11587139006491,2015-03-18,2015-02-15
472470 3480660,2016,1420.040485884497,15.604840504225242,631.7826859377411,12.893524202811044,2016-02-20,2016-02-09
472470 3480660,2017,1504.1946617613896,16.713274019570996,791.1940213154688,16.14681676154018,2017-02-09,2017-01-27
472470 3480660,2018,1460.5205770395507,16.228006411550563,837.9617774073007,17.1012607634143,2018-02-03,2018-02-14
472470 3480660,2019,1789.996271743952,19.88884746382169,1066.7895736373305,21.77121578851695,2019-01-18,2019-01-27
472470 3480660,2020,424.1752207144806,17.673967529770024,NA,NaN,NA,NA
472470 3480690,2014,1297.940028948293,14.421555877203257,550.7311295404014,11.23941080694697,2014-03-09,2014-02-23
472470 3480690,2015,1220.1532901737191,13.557258779707992,536.3474217365232,10.945865749724963,2015-03-19,2015-02-25
472470 3480690,2016,1407.8276084092286,15.470633059442072,625.8026355174138,12.771482357498241,2016-02-21,2016-02-18
472470 3480690,2017,1492.1293728189785,16.579215253544206,784.8640963553541,16.017634619497024,2017-02-09,2017-01-29
472470 3480690,2018,1436.6206942377173,15.962452158196859,830.6155508122649,16.951337771678876,2018-02-04,2018-02-15
472470 3480690,2019,1777.15209212916,19.746134356990666,1059.5682075952127,21.62384097133087,2019-01-18,2019-02-01
472470 3480690,2020,265.93952711220544,16.62122044451284,NA,NaN,NA,NA
472500 3480630,2014,1404.6632667409995,15.60736963045555,585.1509450935669,11.94185602231769,2014-02-26,2014-02-21
472500 3480630,2015,1231.5760837372904,13.684178708192116,544.6490672900536,11.115287087552115,2015-03-18,2015-02-19
472500 3480630,2016,1421.0923614822311,15.616399576727815,631.5802952989646,12.889393781611522,2016-02-20,2016-02-11
472500 3480630,2017,1502.633452595613,16.69592725106237,791.2905867749766,16.148787485203606,2017-02-09,2017-01-28
472500 3480630,2018,1466.926290907569,16.299181010084098,838.385397394523,17.10990606927598,2018-02-03,2018-02-14
472500 3480630,2019,1807.0382894087,20.078203215652223,1066.869165367527,21.77284010954137,2019-01-18,2019-01-29
472500 3480630,2020,428.90236884198157,17.870932035082568,NA,NaN,NA,NA
472500 3480660,2014,1300.154104004695,14.446156711163276,550.5809751104654,11.236346430825824,2014-03-08,2014-02-21
472500 3480660,2015,1224.8619678561786,13.609577420624206,540.4170236533997,11.028918850069381,2015-03-19,2015-02-19
472500 3480660,2016,1412.6513281985317,15.523640969214634,627.0212668672821,12.796352385046571,2016-02-21,2016-02-11
472500 3480660,2017,1494.372114355855,16.604134603953945,785.4583167209781,16.029761565734248,2017-02-09,2017-01-28
472500 3480660,2018,1451.593891824818,16.128821020275755,832.0472927215055,16.98055699431644,2018-02-04,2018-02-14
472500 3480660,2019,1780.2952153531508,19.781057948368343,1061.0830976103632,21.654757094089046,2019-01-18,2019-01-28
472500 3480660,2020,422.9349692814239,17.622290386725993,NA,NaN,NA,NA
472500 3480690,2014,1298.140346879942,14.423781631999356,549.5947578024494,11.216219546988764,2014-03-09,2014-02-22
472500 3480690,2015,1223.1433622081138,13.590481802312375,538.8010934905166,10.99594068347993,2015-03-19,2015-02-24
472500 3480690,2016,1411.6629070031358,15.512779197836657,625.8676144166716,12.772808457483094,2016-02-21,2016-02-15
472500 3480690,2017,1492.583116661455,16.584256851793945,784.4462874663534,16.0091079074766,2017-02-09,2017-01-29
472500 3480690,2018,1439.366844810876,15.992964942343066,831.1270512456651,16.961776556033982,2018-02-04,2018-02-15
472500 3480690,2019,1778.0168013732105,19.755742237480117,1059.7919698684307,21.62840754833532,2019-01-18,2019-01-30
472500 3480690,2020,266.6993152116532,16.668707200728324,NA,NaN,NA,NA
472500 3480720,2014,1303.2390563610934,14.480433959567705,549.5458561381871,11.215221553840554,2014-03-08,2014-02-18
